"variable","code","term_type","OR","OR_low","OR_high","estimate","std_err","p_value","direction","category"
"R0040_I","R0040","applicability_indicator",0.0775039938237618,0.0302389576146493,0.198646697256643,-2.5574258107408,0.480212083162352,1.00610725125771e-07,"lower availability","C2.1.1"
"R0078_I","R0078","applicability_indicator",4.78180082524852,1.28192916072736,17.8368819688707,1.56481721723783,0.671671075332503,0.0198200351428411,"higher availability","C2.2.1"
"R0212_I","R0212","applicability_indicator",1.81414446756074,0.972651457997372,3.38365826948685,0.595613988852992,0.318038223413491,0.0610994811435694,"higher availability","C3.2"
"R0018_I","R0018","applicability_indicator",1.80292251722332,0.868134768115263,3.74426842754823,0.589408968934651,0.372872812086065,0.113941179241234,"higher availability","C1.2"
"R0232_score","R0232","requirement_score",0.568171772535091,0.408599910226306,0.790061757299143,-0.565331489544599,0.168210910692764,0.000777032625604665,"lower availability","C4.1"
"R0279_I","R0279","applicability_indicator",0.599266681001434,0.374400260689557,0.959188848578947,-0.512048569590434,0.239994853075162,0.0328770567697824,"lower availability","C4.3"
"R0368_I","R0368","applicability_indicator",0.606960662889593,0.39830765381138,0.924916312227913,-0.499291295805832,0.214921947698391,0.0201722518930835,"lower availability","C6.2"
"R0078_score","R0078","requirement_score",0.623299030591971,0.331438353083457,1.17216875452873,-0.472728890451759,0.322242941568739,0.142377325702986,"lower availability","C2.2.1"
"R0064_I","R0064","applicability_indicator",1.6018753092918,0.709210297299268,3.61811512930684,0.471175011217285,0.415710800266294,0.257037842423732,"higher availability","C2.1.1"
"R0316_I","R0316","applicability_indicator",1.59268405545569,1.0621405267333,2.38823624243436,0.465420678210036,0.206705043876026,0.0243464590671809,"higher availability","C5.3"
"R0081_score","R0081","requirement_score",0.630388942309201,0.282555158388549,1.40641643512043,-0.46141828134548,0.409427531069936,0.259749241024167,"lower availability","C2.2.1"
"R0102_score","R0102","requirement_score",1.51219416066611,0.891563931435346,2.56485384718427,0.413561682652041,0.269566083284954,0.124986481378989,"higher availability","C2.3"
"R0130_score","R0130","requirement_score",1.49715275043011,1.08777837600561,2.06059102438795,0.403565137927466,0.162976315527705,0.0132781899571952,"higher availability","C2.3"
"R0124_score","R0124","requirement_score",0.685740428326939,0.366949162193412,1.28148523962063,-0.377256107224742,0.319024155986448,0.236994882387808,"lower availability","C2.3"
"R0109_I","R0109","applicability_indicator",1.37854220887514,0.83380667681405,2.2791597554863,0.321026570436338,0.256525262850315,0.210773144819795,"higher availability","C2.3"
"R0212_score","R0212","requirement_score",0.742105517274374,0.529019636692869,1.04102108990105,-0.298263839355916,0.172689850795344,0.0841380625272913,"lower availability","C3.2"
"R0235_I","R0235","applicability_indicator",0.757539484578821,0.478627898076316,1.19898165778135,-0.277679618100537,0.234265629225921,0.23589114706865,"lower availability","C4.1"
"R0252_score","R0252","requirement_score",1.31964947123805,0.950343715254584,1.83246829435007,0.277366149240695,0.167501906219968,0.0977423827253018,"higher availability","C4.2"
"R0282_I","R0282","applicability_indicator",1.30660629172465,0.857211466837993,1.99159725180985,0.267433158753994,0.215056909445835,0.21366670229572,"higher availability","C4.3"
"R0186_score","R0186","requirement_score",1.30501315573119,0.914236562330812,1.86282129462159,0.266213121743913,0.181574276178808,0.142610431725403,"higher availability","C3.2"
"R0156_score","R0156","requirement_score",1.29326579640465,0.901885203950804,1.85448925519947,0.257170644328842,0.183900664776484,0.161986529190612,"higher availability","C3.2"
"R0004_score","R0004","requirement_score",1.28315137760846,0.955756582446005,1.72269538928497,0.249319065897607,0.150294131650204,0.0971411331233175,"higher availability","C1.1"
"R0306_score","R0306","requirement_score",1.21976786371023,1.05683750714977,1.40781684154343,0.198660564993106,0.0731542014449987,0.00661475583137542,"higher availability","C5.3"
"R0062_score","R0062","requirement_score",0.831929213111928,0.626577447475945,1.10458207268241,-0.184007922174788,0.144632744821957,0.203286978075579,"lower availability","C2.1.1"
"R0249_I","R0249","applicability_indicator",0.836907189570987,0.372648565973244,1.87955545227,-0.178042099263293,0.412802170329199,0.666249328906506,"lower availability","C4.1"
"R0400_I","R0400","applicability_indicator",0.848970981723137,0.597664712632796,1.20594659944526,-0.16373027261518,0.179082418677833,0.360573260347254,"lower availability","C6.2"
"R0316_score","R0316","requirement_score",1.14923949975162,1.05486960279779,1.25205184061268,0.139100419053034,0.0437167517789508,0.00146334439352364,"higher availability","C5.3"
"R0211_score","R0211","requirement_score",1.14720633362785,1.024231586157,1.28494609002823,0.137329711792756,0.0578515999698581,0.017604778854376,"higher availability","C3.2"
"R0322_score","R0322","requirement_score",0.887077517296933,0.811906800846576,0.96920794464732,-0.119822907822604,0.0451777765133746,0.00799565286161073,"lower availability","C5.3"
"R0120_score","R0120","requirement_score",1.12076022402604,0.989222700696864,1.26978836906395,0.114007226497677,0.0636965896003724,0.0734783174696974,"higher availability","C2.3"
"R0002_score","R0002","requirement_score",0.895525430909347,0.545428280546035,1.47034142894555,-0.110344659325868,0.252983882177017,0.662711443945944,"lower availability","C1.1"
"R0112_score","R0112","requirement_score",1.1104241758507,0.963843120960847,1.27929724609591,0.104742082733227,0.0722303159941596,0.147027155184443,"higher availability","C2.3"
"R0374_score","R0374","requirement_score",0.900558026592192,0.821192145270298,0.98759439423605,-0.104740678249849,0.0470710080910443,0.0260702796508009,"lower availability","C6.2"
"R0356_score","R0356","requirement_score",0.907188261067692,0.835764922211529,0.984715341774928,-0.0974052858325675,0.0418388367239838,0.019906426277019,"lower availability","C6.1"
"R0065_score","R0065","requirement_score",0.908121297235387,0.62667146020546,1.31597550369072,-0.0963773220391859,0.189266508710537,0.61060161597859,"lower availability","C2.1.1"
"R0309_score","R0309","requirement_score",1.09126289682246,1.00310106032814,1.18717321422408,0.0873356464958419,0.0429800675942469,0.0421533046515854,"higher availability","C5.3"
"R0115_score","R0115","requirement_score",0.9167421781324,0.82861164190459,1.01424621459,-0.0869290042379215,0.0515696695994726,0.0918610252244899,"lower availability","C2.3"
"R0037_score","R0037","requirement_score",1.08086565838694,0.99803752440058,1.17056778219025,0.0777622556215261,0.0406776145011545,0.0559182811970646,"higher availability","C1.2"
"R0187_score","R0187","requirement_score",0.926318740647204,0.86867912196823,0.987782931089719,-0.0765368912014504,0.0327784494819266,0.0195446771755362,"lower availability","C3.2"
"R0269_score","R0269","requirement_score",1.06507714925567,1.00305799375772,1.13093095406863,0.0630472371533483,0.0306096999850371,0.0394258603610693,"higher availability","C4.3"
"R0358_score","R0358","requirement_score",1.06474619771224,1.00461768781174,1.12847352709075,0.0627364587532795,0.0296584019974977,0.0344042687075888,"higher availability","C6.1"
"R0208_score","R0208","requirement_score",1.06273715509245,0.967581019594037,1.16725135977539,0.0608478017028453,0.0478600213292634,0.203597002634074,"higher availability","C3.2"
"R0239_score","R0239","requirement_score",0.943100572972485,0.875859117210846,1.01550428974631,-0.0585823498908802,0.0377393037697787,0.120592811291878,"lower availability","C4.1"
"R0136_score","R0136","requirement_score",1.05964051679337,0.953774543476784,1.17725728004551,0.0579297155040721,0.0537038840460423,0.2807270010717,"higher availability","C3.1"
"R0194_score","R0194","requirement_score",0.944469221195144,0.847954945201893,1.05196875710487,-0.0571321799774361,0.054998763310298,0.298902289324075,"lower availability","C3.2"
"R0238_score","R0238","requirement_score",1.0542266882011,0.978235167062993,1.13612140264009,0.0528075011886278,0.0381704370649742,0.166522031136181,"higher availability","C4.1"
"R0017_score","R0017","requirement_score",1.05253356422181,0.979372714129472,1.13115965743254,0.0512001760628962,0.036757397847722,0.163643478139997,"higher availability","C1.2"
"R0018_score","R0018","requirement_score",1.0494802925549,0.755038251114138,1.45874580901813,0.048295082165037,0.168004081733905,0.773757259817202,"higher availability","C1.2"
"R0119_score","R0119","requirement_score",0.9529859467374,0.874000936583804,1.03910897192946,-0.0481551217772717,0.0441430100890473,0.275321751411441,"lower availability","C2.3"
"R0126_score","R0126","requirement_score",0.954686995110603,0.90057426122636,1.01205119652451,-0.0463717460353129,0.0297714169915076,0.119329796325661,"lower availability","C2.3"
"R0376_score","R0376","requirement_score",0.958110723932308,0.868701411403467,1.05672230672564,-0.0427919294724841,0.049982491661699,0.391921241265877,"lower availability","C6.2"
"R0003_score","R0003","requirement_score",0.964790336039048,0.896957445110911,1.0377531259571,-0.0358444696026574,0.037195780314858,0.335211237967792,"lower availability","C1.1"
"R0245_score","R0245","requirement_score",1.0327573022099,0.961346163914319,1.10947303406824,0.0322322179159798,0.0365582945218028,0.377957265772033,"higher availability","C4.1"
"R0073_score","R0073","requirement_score",1.03247253439904,0.969445222875985,1.09959749053789,0.0319564444329309,0.0321371980358766,0.320040059939183,"higher availability","C2.1.1"
"R0095_score","R0095","requirement_score",1.03182588608099,0.920590403308756,1.15650201800956,0.0313299377875842,0.0582000540460465,0.590359885650922,"higher availability","C2.2.2"
"R0289_score","R0289","requirement_score",1.02966838155052,0.944662880938849,1.12232310314891,0.0292367907417209,0.043962004559153,0.506020555817053,"higher availability","C4.3"
"R0010_score","R0010","requirement_score",0.971330191528166,0.894390662299586,1.05488840698352,-0.0290888154286398,0.0421047539862595,0.489648672853526,"lower availability","C1.1"
"R0272_score","R0272","requirement_score",1.02777853836698,0.945944463157925,1.11669211573091,0.0273997142205744,0.0423329885395062,0.517474934467492,"higher availability","C4.3"
"R0005_I","R0005","applicability_indicator",0.974461714994315,0.698098792513275,1.36023102198906,-0.0258700476258528,0.170168740185072,0.87916654608285,"lower availability","C1.1"
"R0096_score","R0096","requirement_score",0.97472405531174,0.884933844648023,1.07362487009552,-0.0256008682351506,0.0493078041767868,0.603617654554676,"lower availability","C2.2.2"
