Region,Country,QuestionnaireVersion,AssessmentYear,AdministrativeUnitCode,FacilityCode,SupplyChainLevelCode,TargetPopulation,Active,Sector,VaccineStorage,R0001,R0002,R0003,R0004,R0005,R0006,R0007,R0008,R0009,R0010,R0011,R0012,R0013,R0014,R0015,R0016,R0017,R0018,R0019,R0020,R0021,R0022,R0023,R0024,R0025,R0026,R0027,R0028,R0029,R0030,R0031,R0032,R0033,R0034,R0035,R0036,R0037,R0038,R0039,R0040,R0041
EMRO,C017,1.15,2025,0,0,PG,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EMRO,C017,1.15,2025,1,1,SP,7200,1,1,1,0,0,0,0,-1,-1,3.33,5,0,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,5,0,-1
EMRO,C017,1.15,2025,1,2,SP,17400,1,1,1,0,0,0,0,-1,-1,5,5,5,5,-1,-1,-1,0.17,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,-1,5,0,-1
EMRO,C017,1.15,2025,2,3,SP,14240,1,1,1,3.57,0,5,0,-1,-1,5,5,5,5,-1,-1,-1,0.17,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,5,0,-1
EMRO,C017,1.15,2025,2,4,SP,16886,1,1,1,4.29,0,5,1,-1,-1,5,5,5,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,-1,5,0,-1
EMRO,C017,1.15,2025,2,5,LD,1482543,1,1,1,4.29,0,5,1,5,5,3.33,0,5,5,5,5,5,0.17,-1,-1,0,1,2.5,0,5,0,0,-1,-1,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,5,1,-1
EMRO,C017,1.15,2025,3,6,SP,15124,1,1,1,4.29,0,5,1,-1,-1,5,5,5,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,-1,5,0,-1
EMRO,C017,1.15,2025,3,7,SP,14198,1,1,1,4.29,0,5,1,-1,-1,5,5,5,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,5,0,-1
EMRO,C017,1.15,2025,3,8,LD,1398726,1,1,1,4.29,0,5,1,5,5,5,5,5,5,5,5,5,1,-1,-1,5,1,5,5,5,5,5,1,1,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,5,1,-1
EMRO,C017,1.15,2025,4,9,SP,5307,1,1,1,3.57,0,5,0,-1,-1,0,0,0,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,5,0,-1
EMRO,C017,1.15,2025,4,10,SP,50416,1,1,1,3.57,0,5,0,5,-1,5,5,5,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,5,0,-1
EMRO,C017,1.15,2025,4,11,SN,6902800,1,1,1,4.29,0,5,1,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,1,1,5,5,5,4.69,5,5,5,0,5,1,5,5,1,5,1,5
EMRO,C017,1.15,2025,5,12,SP,9866,1,1,1,3.57,0,5,0,-1,-1,3.33,0,5,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,-1,5,0,-1
EMRO,C017,1.15,2025,5,13,SP,9711,1,1,1,3.57,0,5,0,-1,-1,5,5,5,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,5,0,-1
EMRO,C017,1.15,2025,5,14,LD,400572,1,1,1,4.29,0,5,1,-1,5,4.17,5,2.5,5,5,5,5,0.83,-1,-1,5,0,5,5,-1,5,5,-1,-1,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,5,0,-1
EMRO,C017,1.15,2025,6,15,SP,6600,1,1,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,0.17,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.75,-1,5,0,-1
EMRO,C017,1.15,2025,6,16,SP,11000,1,1,1,3.57,0,5,0,-1,-1,1.67,0,0,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,-1,5,0,-1
EMRO,C017,1.15,2025,6,17,LD,761161,1,1,1,3.57,0,5,0,5,5,2.5,0,2.5,5,5,5,5,1,-1,-1,5,1,5,5,5,2.94,5,0,0,0,5,5,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,5,0,-1
EMRO,C017,1.15,2025,7,18,SP,11037,1,1,1,3.57,0,5,0,-1,-1,5,5,5,5,-1,-1,-1,1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,5,0,-1
EMRO,C017,1.15,2025,7,19,SP,4087,1,1,1,0,0,0,0,-1,-1,5,5,5,5,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,5,0,-1
EMRO,C017,1.15,2025,7,20,LD,422593,1,1,1,4.29,0,5,1,5,5,3.33,0,5,5,5,5,5,1,-1,-1,5,1,5,5,-1,1.67,0,-1,-1,5,0,5,-1,-1,-1,-1,-1,-1,-1,-1,5,1,5,0,-1
EMRO,C017,1.15,2025,1,21,LD,459000,1,1,1,4.29,0,5,1,5,5,3.33,5,5,0,2.5,0,5,1,-1,-1,5,1,5,5,-1,2.94,5,0,0,0,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0,1,5,1,-1
